categories,productos,coto_id,name,price,unit_price
Alimentos Secos,Tostadas,55585,Tostadas BREVISS Light Bol 140 Grm,31.95,Precio por 1 Kilo : $228.21
Alimentos Secos,Tostadas,131871,Tostadas BREVISS Light De Gluten Paq 200 Grm,29.95,Precio por 1 Kilo : $149.75
Alimentos Secos,Tostadas,266987,Tostadas BREVISS Ligth 3 Cereales  Paq 110 Grm,27.69,Precio por 1 Kilo : $251.72
Alimentos Secos,Tostadas,80015,Tostadas BREVISS Multicereal Est 125 Grm,31.95,Precio por 1 Kilo : $266.25
Alimentos Secos,Tostadas,95727,Tostadas BREVISS Multivitaminas Paq 200 Grm,29.95,Precio por 1 Kilo : $149.75
Alimentos Secos,Rebozador Y Pan Rallado,203438,Pan Rallado CASERITA Vita K Bol 500 Grm,14.99,Precio por 1 Kilo : $29.98
Alimentos Secos,Rebozador Y Pan Rallado,270381,Pan Rallado CASERITA Vita K Bsa 1 Kg,29.49,Precio por 1 Kilo : $29.49
Alimentos Secos,Rebozador Y Pan Rallado,258810,Pan Rallado MAMA COCINA Paq 1 Kgm,27.86,Precio por 1 Kilogramo : $27.86
Alimentos Secos,Rebozador Y Pan Rallado,258811,Pan Rallado MAMA COCINA Paq 500 Grm,18.09,Precio por 1 Kilo : $36.18
Alimentos Secos,Rebozador Y Pan Rallado,257847,Pan Rallado PREFERIDO Bsa 1 Kgm,39.59,Precio por 1 Kilogramo : $39.59
Alimentos Secos,Rebozador Y Pan Rallado,258062,Pan Rallado PREFERIDO Bsa 500 Grm,19.59,Precio por 1 Kilo : $39.18
Alimentos Secos,Rebozador Y Pan Rallado,203437,Rebozador CASERITA Vita K Bol 500 Grm,14.99,Precio por 1 Kilo : $29.98
Alimentos Secos,Rebozador Y Pan Rallado,270380,Rebozador CASERITA Vita K Bsa 1 Kg,29.49,Precio por 1 Kilo : $29.49
Alimentos Secos,Rebozador Y Pan Rallado,261953,Rebozador P/Freir MAMA COCINA Paq 1 Kgm,36.29,Precio por 1 Kilogramo : $36.29
Alimentos Secos,Rebozador Y Pan Rallado,258814,Rebozador P/Freir MAMA COCINA Paq 500 Grm,18.09,Precio por 1 Kilo : $36.18
Alimentos Secos,Rebozador Y Pan Rallado,258813,Rebozador P/Horno MAMA COCINA Paq 1 Kgm,43.75,Precio por 1 Kilogramo : $43.75
Alimentos Secos,Rebozador Y Pan Rallado,258812,Rebozador P/Horno MAMA COCINA Paq 500 Grm,25.59,Precio por 1 Kilo : $51.18
Alimentos Secos,Polvo Para Postres,3984,Baño De Chocolate AGUILA Blanco Pou 150 Grm,35.05,Precio por 1 Kilo : $233.66
Alimentos Secos,Polvo Para Postres,10971,Baño De Chocolate AGUILA Con Leche Pou 150 Grm,33.95,Precio por 1 Kilo : $226.33
Alimentos Secos,Polvo Para Postres,3985,Baño De Chocolate AGUILA Semi Amargo Pou 150 Grm,33.95,Precio por 1 Kilo : $226.33
Alimentos Secos,Polvo Para Postres,194728,Baño De Chocolate GEORGALOS Leche Sch 150 Grm,32.09,Precio por 1 Kilo : $213.93
Alimentos Secos,Polvo Para Postres,183514,Baño De Chocolate GEORGALOS Reposteria S/Amarg Pou 150 Grm,32.09,Precio por 1 Kilo : $213.93
Alimentos Secos,Polvo Para Postres,260887,Bizcochuelo Redondo Vainilla VALENTE Bli 550 Grm,77.05,Precio por 1 Kilo : $140.09
Alimentos Secos,Polvo Para Postres,14578,Cobertura D/Chocolate AGUILA Chocolitos S/Amargo Bol 150 Gr,37.65,Precio por 1 Kilo : $251.00
Alimentos Secos,Polvo Para Postres,183318,Cobertura De Chocolate GEORGALOS Blanco Paq 100 Grm,30.19,Precio por 1 Kilo : $301.90
Alimentos Secos,Polvo Para Postres,246602,Crema Chantilly DOS ANCLAS Sob 50 Grm,16,Precio por 100 Gramos : $32.00
Alimentos Secos,Polvo Para Postres,249426,Crema Chantilly Royal Sob 50 Grm,16.05,Precio por 100 Gramos escurridos: $32.10
